UserID,Date,Duration,Device,Location,Participants,CallType,InternetSpeed,FeedbackRating,Comments,ConnectionIssues,AgeGroup,SubscriptionType
32536,2023-12-20,-10,PC,"Tokyo, JPN",71,Class,86.11,1.0,Sing chair expert rest like answer.,True,55+,Free
44923,2022-10-23,48,Tablet,"London, UK",6,Webinar,73.57,3.0,Little career lead simple.,True,35-44,Enterprise
37367,2022-12-06,80,PC,"London, UK",23,Webinar,,4.0,,True,45-54,Free
98217,2022-01-17,61,Tablet,"Sydney, AUS",40,Meeting,45.36,,,True,35-44,Business
48857,2022-12-30,-18,PC,"New York, USA",34,Meeting,,1.0,Student later kid speak matter certainly.,False,35-44,Enterprise
62391,2021-08-01,-27,Phone,"London, UK",33,Meeting,142.05,5.0,His great listen allow low old policy.,True,35-44,Business
26424,2023-01-04,-27,Phone,"Sydney, AUS",86,Webinar,,5.0,,False,25-34,Business
51636,2022-01-22,71,Tablet,"Sydney, AUS",27,Webinar,,,Experience cold spend.,True,55+,Enterprise
34387,2023-06-21,116,Phone,"New York, USA",37,Class,,1.0,Him decade yeah peace four.,True,25-34,Pro
84337,2021-11-16,-23,Phone,"New York, USA",59,Webinar,177.34,,No memory should provide real sound once hair.,True,18-24,Free
93545,2021-09-29,55,Phone,"São Paulo, BRA",60,Meeting,111.92,4.0,Defense attack cell.,False,45-54,Enterprise
28702,2024-07-18,-13,PC,"Tokyo, JPN",58,Webinar,,,Focus animal effort today appear.,False,45-54,Free
80321,2022-02-12,-23,Tablet,"Sydney, AUS",70,Meeting,28.54,4.0,Simple lot peace performance wonder past.,True,45-54,Enterprise
26269,2024-01-07,-16,PC,"London, UK",54,Webinar,181.06,,Science close sign strategy responsibility do.,False,35-44,Enterprise
90339,2022-07-24,0,Phone,"São Paulo, BRA",78,Meeting,,,,False,45-54,Pro
32758,2022-08-03,60,Phone,"São Paulo, BRA",4,Webinar,118.79,,,False,25-34,Free
25463,2024-01-12,49,Tablet,"Sydney, AUS",44,Webinar,,3.0,Part difficult success yet with.,True,35-44,Pro
22396,2022-05-13,9,PC,"London, UK",26,Meeting,124.65,,Marriage budget however table word beyond.,True,45-54,Business
63814,2022-08-31,48,PC,"Sydney, AUS",14,Class,,,Age own certain.,True,18-24,Pro
57667,2023-03-15,-6,Phone,"São Paulo, BRA",16,Class,,,Ability everything machine yourself dinner budget opportunity performance.,True,55+,Business
70433,2023-10-08,-17,PC,"Tokyo, JPN",47,Class,,,,False,55+,Enterprise
77341,2021-09-26,-4,Tablet,"London, UK",12,Webinar,176.44,,Himself end heavy.,False,35-44,Pro
17652,2022-08-15,-19,Tablet,"Sydney, AUS",77,Class,176.14,5.0,,False,45-54,Pro
42011,2022-06-29,-10,Tablet,"New York, USA",12,Webinar,45.1,,Performance Democrat page middle produce instead.,False,45-54,Business
71060,2023-04-29,-16,Tablet,"Sydney, AUS",30,Meeting,,1.0,,False,35-44,Business
38112,2022-09-27,-24,PC,"Sydney, AUS",23,Webinar,3.82,3.0,Even wonder parent.,False,25-34,Enterprise
57667,2024-02-21,-30,Tablet,"Tokyo, JPN",57,Webinar,37.69,,,True,45-54,Enterprise
66910,2021-12-16,74,PC,"London, UK",73,Webinar,17.95,,Yet son others remember artist become threat any.,True,55+,Enterprise
24956,2023-09-02,-16,Phone,"Tokyo, JPN",40,Class,124.58,2.0,,True,25-34,Pro
49225,2024-02-26,71,PC,"Tokyo, JPN",58,Class,,1.0,,False,45-54,Free
68991,2022-11-20,-1,Phone,"São Paulo, BRA",85,Meeting,85.6,,Quite people other clearly protect.,True,18-24,Pro
88190,2023-12-03,-11,Tablet,"New York, USA",60,Class,,,Court dog mouth market part.,True,45-54,Business
49295,2023-03-05,33,PC,"São Paulo, BRA",76,Meeting,,5.0,Agreement nearly court floor throw trip season.,True,45-54,Enterprise
45527,2024-05-25,-25,Phone,"Tokyo, JPN",12,Webinar,,3.0,Success interest today.,False,45-54,Enterprise
49755,2022-12-26,0,Phone,"New York, USA",59,Meeting,,,Southern cell instead beat Mrs born especially walk.,True,55+,Enterprise
39551,2022-05-25,-24,Phone,"Tokyo, JPN",81,Webinar,152.24,3.0,Deep meet budget lose.,False,45-54,Free
71567,2022-10-06,81,Phone,"London, UK",40,Class,,1.0,Interesting make away any president.,True,45-54,Free
41029,2023-06-07,-26,Phone,"Sydney, AUS",66,Class,,4.0,Compare up not sing court upon.,True,45-54,Pro
53197,2023-03-21,77,PC,"Sydney, AUS",99,Webinar,,,Debate sense quickly doctor build social soldier again.,False,25-34,Enterprise
68713,2023-07-13,-19,Phone,"São Paulo, BRA",49,Webinar,186.64,,,False,18-24,Business
42644,2022-03-14,-8,Tablet,"London, UK",64,Meeting,,,,False,18-24,Pro
27436,2022-03-29,112,PC,"Tokyo, JPN",34,Webinar,,,Health rate offer do.,False,35-44,Enterprise
47440,2023-05-19,70,PC,"Sydney, AUS",30,Class,18.99,,,False,18-24,Free
82924,2022-07-24,-29,Tablet,"Sydney, AUS",56,Meeting,,5.0,,True,55+,Enterprise
72991,2021-11-22,-23,Phone,"London, UK",30,Webinar,,3.0,Continue our speech food piece.,False,35-44,Pro
66910,2024-07-05,0,Phone,"Sydney, AUS",82,Webinar,,3.0,Cause policy yourself success.,False,18-24,Pro
38665,2022-03-19,-19,Phone,"Sydney, AUS",3,Class,79.77,5.0,After discover big prepare third drug voice.,False,35-44,Pro
62391,2021-08-17,103,Phone,"London, UK",80,Webinar,135.88,1.0,Speech firm sound truth instead his.,False,18-24,Business
54504,2022-12-10,-28,Tablet,"Tokyo, JPN",23,Meeting,,,Attention deep ask.,False,45-54,Business
49155,2022-08-12,112,Tablet,"New York, USA",19,Meeting,,,,False,18-24,Business
57778,2023-03-02,-16,Phone,"Sydney, AUS",75,Webinar,,1.0,Rise investment religious source.,False,55+,Pro
41029,2021-10-11,-10,Phone,"Sydney, AUS",84,Webinar,24.22,,Threat audience table.,True,18-24,Pro
77209,2022-01-31,-26,Tablet,"Sydney, AUS",86,Class,,5.0,Very month pick which product.,True,45-54,Enterprise
14731,2021-07-26,-29,PC,"Tokyo, JPN",57,Meeting,171.23,,,False,25-34,Free
87158,2022-09-28,-4,PC,"London, UK",83,Class,119.83,,,True,55+,Pro
37753,2024-05-13,107,Phone,"London, UK",30,Webinar,155.1,3.0,Happen card him.,False,25-34,Free
77569,2022-05-16,111,PC,"Sydney, AUS",31,Class,65.43,3.0,,False,55+,Free
42644,2024-02-10,-15,Tablet,"São Paulo, BRA",76,Meeting,90.95,5.0,High myself tough law.,False,45-54,Free
24664,2023-09-20,-3,Tablet,"New York, USA",63,Class,182.03,,Order call have guess deal question culture education.,True,25-34,Business
75405,2022-05-25,-12,Tablet,"São Paulo, BRA",68,Webinar,,1.0,Take customer behind put movie least able.,True,45-54,Enterprise
77209,2022-12-04,-17,Tablet,"Tokyo, JPN",54,Class,,,Bag eight everything old court.,True,45-54,Free
50858,2023-07-09,107,Tablet,"New York, USA",96,Class,75.16,5.0,Prepare relate stop upon bed forward my.,False,18-24,Enterprise
77327,2024-02-12,-9,Phone,"New York, USA",37,Class,63.18,5.0,,False,25-34,Free
18774,2022-06-07,-13,PC,"Sydney, AUS",74,Meeting,161.64,,,False,35-44,Business
18774,2023-12-06,1,Phone,"Tokyo, JPN",9,Meeting,148.45,1.0,Fine knowledge forget parent.,False,35-44,Pro
90970,2023-01-22,-7,Phone,"São Paulo, BRA",11,Meeting,31.96,,Clearly anything fine goal parent write.,False,45-54,Enterprise
89017,2022-10-12,35,Tablet,"Tokyo, JPN",15,Webinar,,,,False,55+,Free
72903,2021-10-05,27,PC,"Sydney, AUS",38,Webinar,,4.0,,True,55+,Business
14199,2022-08-28,51,Tablet,"New York, USA",59,Meeting,,,Situation marriage director official goal dog key.,False,35-44,Free
51636,2021-07-26,0,PC,"São Paulo, BRA",59,Class,184.03,4.0,,False,55+,Free
36779,2023-12-09,-21,PC,"Sydney, AUS",100,Meeting,16.2,5.0,Know able stop food system environment.,False,35-44,Pro
92374,2023-12-11,-26,PC,"London, UK",78,Meeting,152.28,,Wear figure sign treatment.,False,55+,Business
84275,2022-02-26,81,Tablet,"New York, USA",61,Webinar,,5.0,Nothing race against election.,True,35-44,Enterprise
86085,2022-10-31,-29,Tablet,"New York, USA",83,Meeting,,4.0,Pull though ok response page.,True,35-44,Enterprise
67337,2023-02-14,20,Tablet,"New York, USA",44,Class,17.78,1.0,Significant last game media.,False,55+,Pro
89247,2021-09-29,-1,Tablet,"Tokyo, JPN",100,Webinar,136.1,3.0,Stock glass increase win phone laugh family.,False,35-44,Business
89827,2024-04-24,110,Tablet,"New York, USA",75,Class,,,,True,35-44,Enterprise
58832,2024-06-21,102,Phone,"São Paulo, BRA",12,Class,,,Director ever nature knowledge.,True,35-44,Enterprise
64873,2022-08-21,29,PC,"Sydney, AUS",13,Class,154.4,3.0,Easy laugh never husband student range.,True,25-34,Pro
28702,2022-06-13,89,Phone,"Tokyo, JPN",6,Webinar,73.5,,Explain without area number ok.,False,25-34,Pro
46829,2023-09-22,-5,PC,"Sydney, AUS",87,Class,,,Yard force himself house work.,False,25-34,Pro
19120,2023-05-21,-26,PC,"Tokyo, JPN",48,Class,186.92,3.0,Media understand through happy success together spring.,False,45-54,Pro
28702,2023-01-31,56,Tablet,"Sydney, AUS",4,Webinar,,,Crime product way like spend.,False,25-34,Free
67945,2023-01-15,-27,PC,"London, UK",5,Webinar,,,Field former have lay or land.,True,18-24,Free
71225,2023-07-16,28,Phone,"São Paulo, BRA",68,Webinar,,,,True,45-54,Enterprise
23943,2022-03-07,-4,Phone,"São Paulo, BRA",3,Class,103.56,,Form mention worry over.,False,25-34,Enterprise
99481,2023-02-18,86,Phone,"Sydney, AUS",9,Class,109.27,,,False,35-44,Business
49155,2022-09-09,3,Tablet,"London, UK",94,Class,,2.0,Politics coach organization interesting go.,False,25-34,Enterprise
66939,2024-02-13,62,PC,"New York, USA",92,Webinar,8.36,1.0,Hour seek baby decade smile dog material.,False,35-44,Enterprise
91393,2022-03-30,-15,PC,"London, UK",37,Webinar,172.57,,,False,45-54,Enterprise
23804,2021-09-21,-2,Tablet,"London, UK",64,Class,,,,True,55+,Business
49848,2022-09-13,-28,Phone,"Sydney, AUS",40,Webinar,,,Expert minute game medical.,True,35-44,Enterprise
38863,2022-07-15,82,PC,"Tokyo, JPN",47,Class,160.42,1.0,Keep office make father record.,False,18-24,Pro
92139,2022-12-04,-6,Tablet,"Tokyo, JPN",73,Meeting,,,Real white box perhaps doctor during us behavior.,True,55+,Pro
31907,2022-11-08,-18,Phone,"Sydney, AUS",32,Meeting,6.16,,Budget between range her popular fly.,True,35-44,Business
47241,2022-03-12,-24,Phone,"Tokyo, JPN",26,Meeting,28.01,4.0,Yourself agent all give south education dog.,False,18-24,Business
87279,2022-11-09,45,Phone,"São Paulo, BRA",38,Webinar,170.42,3.0,,True,25-34,Pro
20955,2023-08-02,-30,Phone,"São Paulo, BRA",48,Webinar,160.93,5.0,,False,45-54,Enterprise
27282,2022-07-12,53,PC,"Sydney, AUS",83,Meeting,,2.0,Increase grow process eight little.,True,45-54,Free
28702,2021-11-10,16,Tablet,"London, UK",21,Webinar,187.01,,Force exactly many pressure stage week method necessary.,False,25-34,Business
31608,2023-08-09,81,Phone,"London, UK",76,Class,,5.0,Chair letter whether tell little focus almost.,True,18-24,Free
87158,2024-01-18,-6,Phone,"London, UK",99,Class,83.9,,Activity real religious bill magazine over support.,False,45-54,Pro
61617,2021-10-10,-9,Tablet,"Tokyo, JPN",10,Class,,,Weight attack college speech.,False,55+,Pro
66346,2022-12-20,-8,Phone,"Sydney, AUS",52,Meeting,152.37,3.0,Democrat point stock language whether.,False,45-54,Pro
84154,2022-11-07,-29,Tablet,"São Paulo, BRA",54,Meeting,192.57,,,True,45-54,Enterprise
72454,2022-10-13,-21,PC,"New York, USA",51,Class,91.99,,,False,45-54,Enterprise
95873,2023-11-27,69,Tablet,"London, UK",34,Class,,3.0,Mention data thousand memory talk.,True,35-44,Business
66910,2024-05-01,-14,Phone,"Sydney, AUS",80,Class,122.6,,Fast property bank mind laugh seem service.,False,55+,Business
33969,2024-06-28,-24,Phone,"New York, USA",6,Meeting,,,,True,35-44,Business
85845,2021-08-08,-11,Phone,"Sydney, AUS",65,Class,,4.0,Expect now shake nation rest visit.,True,45-54,Business
72844,2024-07-02,116,Phone,"Tokyo, JPN",34,Class,156.8,,,False,25-34,Pro
39660,2022-12-23,74,PC,"New York, USA",57,Webinar,,,Poor second sometimes recent score.,False,18-24,Pro
79901,2023-01-20,-13,Phone,"Tokyo, JPN",68,Webinar,63.44,,Wonder future want themselves.,False,55+,Enterprise
64873,2024-01-16,-22,PC,"Sydney, AUS",99,Webinar,,,Language reflect thank information to as.,False,35-44,Free
91379,2021-10-04,-13,Tablet,"Sydney, AUS",99,Meeting,,,Next on relate deep.,False,45-54,Pro
27635,2023-11-17,-13,Phone,"Sydney, AUS",18,Meeting,123.52,2.0,Front away section president society speech.,True,25-34,Free
38112,2022-10-16,-20,PC,"London, UK",1,Class,195.6,,Turn water trial pull.,True,35-44,Business
95873,2022-05-17,83,Phone,"São Paulo, BRA",30,Class,148.0,,Test get purpose strategy think.,True,18-24,Enterprise
24660,2022-10-03,-25,PC,"New York, USA",39,Class,,,Involve into hope soldier society risk street.,False,25-34,Enterprise
70547,2023-08-22,25,Tablet,"London, UK",94,Webinar,130.01,,Game drug line summer whole really.,True,25-34,Enterprise
86500,2024-01-30,-14,PC,"Tokyo, JPN",86,Meeting,37.77,,From leg beyond network hundred professional million.,True,35-44,Enterprise
92374,2023-09-17,-6,Tablet,"Sydney, AUS",75,Class,,3.0,,True,45-54,Business
84436,2021-07-27,-9,Phone,"New York, USA",82,Webinar,74.14,2.0,Mouth only establish morning.,False,55+,Business
89017,2022-12-31,-13,Phone,"London, UK",98,Meeting,136.39,,Suffer produce table leader.,False,18-24,Free
24664,2022-12-05,107,Phone,"São Paulo, BRA",20,Meeting,,1.0,Buy kid hit.,False,18-24,Enterprise
29313,2021-09-04,8,Phone,"Tokyo, JPN",59,Class,,3.0,In foreign identify course hold director.,True,25-34,Free
34954,2023-01-03,55,Phone,"New York, USA",9,Webinar,,2.0,Main answer enough art those.,False,35-44,Enterprise
40405,2021-12-02,-1,Tablet,"New York, USA",88,Class,175.04,3.0,,False,55+,Pro
97422,2024-02-02,29,PC,"Sydney, AUS",60,Class,,,Push whose wish north.,True,45-54,Business
69373,2023-08-05,36,PC,"Tokyo, JPN",79,Meeting,48.89,1.0,Throughout cold medical environmental news approach reveal.,True,25-34,Free
90328,2022-09-25,57,PC,"London, UK",65,Webinar,,,,True,55+,Pro
39551,2021-08-09,39,Phone,"São Paulo, BRA",95,Meeting,,,,False,45-54,Business
66939,2024-06-09,54,Tablet,"Tokyo, JPN",24,Class,95.23,3.0,Within side drop big.,True,55+,Enterprise
73085,2022-06-28,54,Tablet,"London, UK",33,Meeting,66.72,,,True,18-24,Business
53615,2024-05-25,87,PC,"London, UK",98,Class,145.14,4.0,Rather open tell game quickly outside begin.,False,35-44,Free
15641,2022-11-15,120,Phone,"Tokyo, JPN",32,Class,121.28,4.0,Affect think sister network.,False,45-54,Enterprise
27713,2023-03-09,-19,Tablet,"Sydney, AUS",66,Webinar,,3.0,Mouth worry through national with.,False,18-24,Pro
40520,2022-10-24,-30,Phone,"São Paulo, BRA",75,Class,84.1,,,True,45-54,Business
71225,2022-04-17,-4,Phone,"Tokyo, JPN",59,Meeting,,2.0,Those article career year deal black their.,False,25-34,Free
52004,2023-08-28,5,Phone,"New York, USA",98,Meeting,83.07,1.0,,False,35-44,Free
10980,2024-03-15,-9,Phone,"Tokyo, JPN",3,Meeting,,1.0,Early he key voice kid.,False,55+,Business
50681,2021-11-17,-4,PC,"New York, USA",13,Class,30.63,,Political simple seek coach cause politics.,False,45-54,Free
81298,2022-01-11,52,Phone,"London, UK",39,Class,165.78,1.0,Ground performance believe their.,False,55+,Enterprise
36135,2022-02-01,82,PC,"Tokyo, JPN",56,Class,157.09,5.0,,False,35-44,Free
21407,2022-04-29,-9,Phone,"São Paulo, BRA",85,Meeting,,1.0,Early itself food like song clearly hand.,False,18-24,Business
85845,2023-02-22,-23,Phone,"São Paulo, BRA",43,Webinar,151.37,,,False,25-34,Free
55442,2023-03-10,-6,Tablet,"New York, USA",82,Webinar,,4.0,Enough able together article claim piece.,False,45-54,Pro
52791,2023-01-12,-9,PC,"São Paulo, BRA",38,Meeting,142.91,3.0,East reason what suggest.,True,45-54,Business
76289,2023-07-09,14,Tablet,"Tokyo, JPN",47,Webinar,21.34,,Describe point light draw PM enough environment.,False,18-24,Free
36969,2022-03-16,46,Phone,"São Paulo, BRA",42,Webinar,,4.0,By discuss imagine few song almost with.,True,55+,Pro
30985,2022-03-30,49,Tablet,"Sydney, AUS",35,Webinar,30.04,,Less budget another.,False,18-24,Business
90630,2023-02-22,-7,Phone,"São Paulo, BRA",26,Webinar,,,Sing step apply smile rather.,False,35-44,Enterprise
53485,2023-09-05,56,Tablet,"Sydney, AUS",78,Class,,,Enjoy few push morning guess option.,False,45-54,Pro
82924,2021-12-09,-22,Tablet,"New York, USA",73,Meeting,118.85,5.0,Analysis catch tonight improve break among.,False,25-34,Enterprise
53911,2023-10-16,38,Tablet,"Tokyo, JPN",18,Class,,,Contain quality child will.,True,45-54,Enterprise
40223,2022-09-13,-13,Phone,"New York, USA",47,Class,179.2,1.0,Wrong price without provide popular.,False,25-34,Free
39389,2021-11-06,-9,Tablet,"Tokyo, JPN",14,Meeting,20.62,5.0,Need appear protect page home PM any drop.,False,45-54,Pro
64744,2023-11-20,4,Tablet,"Tokyo, JPN",11,Meeting,166.43,,Protect skin police we.,True,55+,Enterprise
41091,2021-08-30,-27,Phone,"Tokyo, JPN",41,Meeting,60.75,,Sometimes page join ok seat to worker nor.,True,25-34,Pro
93598,2023-10-11,-20,Tablet,"London, UK",52,Class,,4.0,Listen past man guess their.,True,45-54,Enterprise
75243,2023-09-10,1,PC,"Sydney, AUS",97,Class,161.94,5.0,Instead realize court write.,True,35-44,Business
14643,2024-06-15,-27,Phone,"Tokyo, JPN",68,Class,,,Bag poor smile continue.,False,35-44,Enterprise
10980,2022-11-10,-4,Phone,"São Paulo, BRA",11,Class,27.66,,,False,25-34,Enterprise
99803,2024-03-07,-26,Tablet,"London, UK",63,Class,107.94,5.0,Evidence sometimes institution anything program.,True,25-34,Business
73032,2023-10-31,58,Tablet,"New York, USA",63,Meeting,,,Speak notice religious grow population kid.,False,45-54,Enterprise
81553,2024-05-19,22,PC,"Sydney, AUS",5,Webinar,,,Behavior in rise blood wall authority.,False,55+,Free
91379,2023-11-12,-22,Phone,"New York, USA",98,Class,88.83,4.0,Social fall data figure difference low fact.,True,35-44,Free
24956,2024-05-14,34,Tablet,"New York, USA",100,Meeting,,,,True,25-34,Pro
61617,2022-03-07,-12,Phone,"Sydney, AUS",77,Class,,,Hold reduce new and over entire.,True,25-34,Enterprise
43812,2022-05-27,8,Phone,"London, UK",32,Meeting,142.57,,,False,45-54,Enterprise
86085,2022-07-25,10,Tablet,"São Paulo, BRA",96,Webinar,,,Dark pull may wall dark.,True,18-24,Enterprise
77304,2022-07-11,-8,PC,"São Paulo, BRA",51,Meeting,193.66,,Third than almost prove.,False,35-44,Pro
54019,2024-06-25,-15,Phone,"New York, USA",6,Meeting,,1.0,Way something hair investment operation government.,True,45-54,Enterprise
64759,2024-06-29,55,Phone,"Sydney, AUS",21,Webinar,,3.0,Born notice often test religious turn.,True,18-24,Enterprise
74861,2022-03-19,40,Tablet,"New York, USA",91,Meeting,,1.0,Program least fly.,False,18-24,Free
66939,2024-07-16,44,Tablet,"London, UK",62,Meeting,46.56,1.0,Hear beyond for pressure seem.,False,25-34,Enterprise
12188,2023-12-12,105,Phone,"London, UK",9,Class,113.09,,Bring of far Republican purpose environmental society.,True,45-54,Enterprise
18557,2022-04-28,28,PC,"New York, USA",76,Class,,3.0,,True,25-34,Business
93545,2023-11-06,-30,PC,"São Paulo, BRA",78,Class,,3.0,Bad hair for plan clearly ready including.,True,45-54,Enterprise
21863,2023-04-16,31,Phone,"New York, USA",47,Webinar,,3.0,Heart special must brother appear walk.,True,18-24,Free
18341,2022-08-11,34,PC,"Tokyo, JPN",65,Webinar,,,,True,35-44,Free
46829,2023-08-11,11,PC,"São Paulo, BRA",42,Webinar,117.7,,Trade group dream away impact available.,True,18-24,Pro
36217,2021-08-02,119,Tablet,"São Paulo, BRA",78,Meeting,62.55,1.0,Day must recently guy high option.,True,25-34,Enterprise
81118,2023-03-28,-14,PC,"Sydney, AUS",17,Class,,1.0,Heavy like energy cell.,False,35-44,Free
38021,2022-11-28,92,Tablet,"Tokyo, JPN",66,Webinar,12.03,3.0,,True,55+,Free
59213,2022-06-28,95,PC,"New York, USA",32,Meeting,,2.0,Establish lose get either best next.,True,55+,Enterprise
20942,2023-07-06,-23,Phone,"Sydney, AUS",35,Meeting,114.74,5.0,,True,45-54,Free
69775,2022-02-03,-3,Tablet,"Sydney, AUS",12,Class,,,Baby measure leave difference provide.,False,55+,Pro
61637,2023-07-22,-12,PC,"São Paulo, BRA",98,Meeting,,1.0,Produce down fine.,True,35-44,Free
38169,2023-04-10,-18,PC,"London, UK",68,Meeting,84.54,,,True,55+,Enterprise
15047,2024-04-21,-19,Phone,"New York, USA",75,Meeting,,1.0,Partner institution sort defense pretty.,True,25-34,Business
25463,2023-07-29,-20,Phone,"Sydney, AUS",41,Webinar,55.12,2.0,And range marriage pull red budget.,True,25-34,Free
42289,2022-09-19,-16,Tablet,"New York, USA",69,Webinar,192.96,,Team year ahead society executive hair reflect glass.,True,18-24,Pro
56493,2022-03-02,88,PC,"Sydney, AUS",19,Meeting,,4.0,Finish sister save front fight type woman.,False,25-34,Free
81118,2022-06-07,-3,Phone,"São Paulo, BRA",32,Meeting,92.95,1.0,,True,25-34,Pro
80612,2023-07-16,52,Phone,"São Paulo, BRA",34,Meeting,5.34,,Fly Democrat technology pass again weight American choose.,True,35-44,Free
28093,2023-04-07,60,Phone,"Tokyo, JPN",93,Webinar,,4.0,Health question else stand.,True,35-44,Business
54718,2022-02-15,114,Phone,"São Paulo, BRA",79,Meeting,,,,False,45-54,Pro
99803,2022-02-26,26,Phone,"São Paulo, BRA",3,Webinar,,,Financial summer technology.,False,45-54,Business
41591,2022-04-19,4,PC,"Sydney, AUS",8,Webinar,106.36,2.0,,True,35-44,Free
86568,2023-04-13,-12,Tablet,"London, UK",23,Meeting,,5.0,Argue pay book enter.,False,55+,Pro
39389,2023-07-25,-4,Phone,"Sydney, AUS",23,Webinar,8.55,2.0,,False,18-24,Business
45527,2023-05-21,79,Tablet,"London, UK",42,Meeting,5.36,,Line deep left gun occur try base.,False,45-54,Free
44917,2023-03-20,39,PC,"Tokyo, JPN",82,Webinar,130.19,,,True,45-54,Business
62405,2023-09-20,89,PC,"New York, USA",90,Class,78.93,,Must group current resource since human sit.,True,55+,Free
97884,2024-04-17,-26,Phone,"New York, USA",31,Webinar,196.49,,Simple create forward in social young message.,False,25-34,Pro
24041,2023-05-08,-19,PC,"New York, USA",7,Webinar,,,Shoulder before also full employee official capital each.,False,35-44,Enterprise
38112,2023-08-29,107,PC,"Tokyo, JPN",10,Meeting,,3.0,,True,45-54,Pro
54504,2024-07-15,10,Tablet,"São Paulo, BRA",79,Webinar,,,,True,35-44,Pro
37367,2022-11-12,-17,Phone,"Sydney, AUS",39,Meeting,,,,False,18-24,Enterprise
36217,2021-10-07,-4,PC,"New York, USA",4,Meeting,,,Once visit determine toward medical money price.,False,45-54,Enterprise
81553,2023-06-20,-9,PC,"São Paulo, BRA",50,Meeting,,3.0,Power exactly wish will themselves sense trouble its.,False,45-54,Enterprise
38021,2024-01-23,-4,Phone,"New York, USA",20,Class,133.83,,Century expert check kitchen avoid focus could money.,True,55+,Free
32758,2023-04-10,-4,Phone,"Tokyo, JPN",74,Meeting,95.78,4.0,Mouth cover build relationship hospital movement discuss no.,True,18-24,Enterprise
49225,2023-12-07,22,PC,"New York, USA",55,Meeting,,2.0,Tv door nor land student society.,False,35-44,Free
36217,2022-08-24,-13,Phone,"Sydney, AUS",36,Class,92.17,,,True,25-34,Free
21407,2022-05-09,14,Tablet,"São Paulo, BRA",45,Webinar,,,,False,45-54,Pro
10980,2021-09-19,-9,PC,"Tokyo, JPN",43,Class,,,,False,35-44,Business
73032,2023-02-25,63,PC,"London, UK",39,Class,,,Cup effort prove give.,True,25-34,Enterprise
15641,2022-06-29,-4,Phone,"Tokyo, JPN",98,Class,173.57,5.0,,False,25-34,Free
49225,2023-05-10,25,PC,"London, UK",5,Webinar,,,Answer tell section best.,False,55+,Enterprise
77304,2022-11-11,119,PC,"Sydney, AUS",63,Class,,,Picture east parent top question treatment.,False,18-24,Business
71567,2021-08-27,50,Phone,"London, UK",29,Class,45.8,,Audience young color piece.,True,45-54,Pro
41029,2022-08-24,23,PC,"Sydney, AUS",78,Webinar,,,Customer treatment control ball why speak.,False,35-44,Pro
